question_id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,domain,topic,difficulty,source
CPMAI-001,"Which phase of an AI project is typically the most time-consuming?","Model deployment","Data preparation","Business case writing","Stakeholder sign-off","B","Industry surveys consistently find that data preparation - collecting, cleaning, labelling and transforming data - consumes the majority of effort on AI projects, often cited at 60-80% of total project time.","Data for AI","Project Effort","MEDIUM","Starter set"
CPMAI-002,"What is the primary purpose of defining a business question before starting an AI project?","To satisfy audit requirements","To ensure the project delivers measurable business value","To decide which cloud vendor to use","To determine the team size","B","Starting from a clearly framed business question keeps the project anchored to a measurable outcome. Without it, teams risk building technically impressive models that solve no real problem.","AI Strategy & Planning","Business Understanding","EASY","Starter set"
CPMAI-003,"A model performs well in testing but poorly in production. What is the most likely cause?","The model was trained too long","Training data does not represent real-world production data","Too many people are using the system","The code was written in the wrong language","B","This is distribution shift. When training data does not reflect the conditions the model actually meets in production, accuracy drops even though test metrics looked strong.","Model Evaluation","Generalisation","MEDIUM","Starter set"
CPMAI-004,"Which metric is most misleading when evaluating a model on a highly imbalanced dataset?","Precision","Recall","Accuracy","F1 score","C","With 99% of samples in one class, a model that always predicts the majority class scores 99% accuracy while being useless. Precision, recall and F1 reveal this failure; accuracy hides it.","Model Evaluation","Metrics","MEDIUM","Starter set"
CPMAI-005,"What does data drift refer to?","Data being moved between storage systems","A gradual change in the statistical properties of input data over time","Data being corrupted during transfer","Losing data due to hardware failure","B","Data drift is when the distribution of production inputs changes over time, so a model trained on older data steadily degrades. Detecting it requires ongoing monitoring after deployment.","Monitoring & Maintenance","Data Drift","MEDIUM","Starter set"
CPMAI-006,"Why should AI projects be run iteratively rather than in a single linear pass?","Iteration reduces total cost","AI outcomes are uncertain until data and models are tested, so learning must feed back into earlier phases","Regulations require iteration","Iteration eliminates the need for documentation","B","Unlike traditional software, you cannot know upfront whether the data supports the desired outcome. Iteration lets findings from data and modelling revise the business understanding.","AI Project Management","Methodology","MEDIUM","Starter set"
CPMAI-007,"What is the main risk of using historical hiring data to train a recruitment model?","The data will be too large to process","The model may learn and reproduce past discriminatory patterns","Historical data is always outdated","Models cannot process text data","B","If past hiring decisions reflected bias, a model trained on them will encode that bias and apply it at scale. This is a central concern in responsible AI.","Responsible AI & Ethics","Bias","MEDIUM","Starter set"
CPMAI-008,"What does model explainability primarily support?","Faster training times","Understanding why a model produced a given output","Reducing storage costs","Increasing model accuracy","B","Explainability lets stakeholders understand the reasoning behind predictions. It is essential for trust, debugging, and regulatory compliance in high-stakes domains.","Responsible AI & Ethics","Explainability","EASY","Starter set"
CPMAI-009,"Which is the strongest indicator that a problem does NOT need machine learning?","The data is stored in a relational database","The rules governing the outcome are known, stable and can be written explicitly","The organisation has fewer than 100 employees","The problem involves numeric data","B","If outcomes follow known, stable rules, conventional logic is cheaper, faster and more reliable. ML earns its place where patterns are too complex to specify by hand.","AI Strategy & Planning","Problem Framing","MEDIUM","Starter set"
CPMAI-010,"What is the purpose of a holdout test set?","To increase the size of training data","To provide an unbiased estimate of performance on unseen data","To speed up model training","To store backup copies of the data","B","The holdout set is never used during training or tuning, so performance measured on it approximates how the model will behave on genuinely new data.","Model Evaluation","Validation","EASY","Starter set"
