question_id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,explanation_a,explanation_b,explanation_c,explanation_d,domain,topic,difficulty,source,tags,is_test,option_e,option_f,explanation_e,explanation_f
CPMAI-D4-001,"A team proposes deriving a customer tenure feature for a churn model by subtracting each customer's signup date from today's date, recomputed automatically every time the model runs in production. What should the project manager check?",That tenure is measured as of the prediction point in training records and at production scoring time,That signup dates are stored in a date type rather than as text strings,That the tenure feature is expressed in days rather than in months,That customers with no recorded signup date are excluded from the dataset before training begins,A,"Tenure must be measured as of the prediction point, both in historical training records and at scoring time.","In training, tenure should be measured as of the moment each historical outcome occurred; in production it is measured at the point of scoring. If the historical records are instead computed against today's date, the feature carries a different meaning in each setting and the learned relationship no longer holds.",Date typing prevents parsing errors and is worth confirming. It is a data hygiene point rather than the semantic trap in this derivation.,"Days or months is a granularity choice with little consequence, since one converts to the other. It does not affect correctness.",Handling customers with no signup date is a necessary decision either way. It is a completeness question separate from the reference-point issue.,Manage AI Model Development and Evaluation,Feature engineering and preparation,HARD,,,,,,,
CPMAI-D4-002,"A team reports a model at ninety-one per cent accuracy, measured on the records it was trained on. The team has not scored the model on any data it did not see during training, and proposes to put the figure to the steering group as evidence of the performance expected once the model is in use. What should the project manager require?",That the figure be reported with a note explaining it was measured on the training records,A score on held-out data before that claim is put to the steering group,That the team retrain the model until training accuracy reaches at least ninety-five per cent,That precision and recall be calculated alongside accuracy on the same training records,B,"Performance measured on training records shows what a model retained, not what it will do on new cases.","Labelling the figure correctly is honest and worth doing. It does not turn a training score into evidence of how the model will perform in use, which is the claim being made.",A model can reproduce its training records closely and still fail on new ones. Only a score on data held back from training supports a claim about expected performance in use.,"Pushing training accuracy higher moves in the wrong direction, since it can indicate the model is fitting the training records ever more closely.",Additional measures on the same records share the same defect. They describe the training data rather than future performance.,Manage AI Model Development and Evaluation,Model evaluation metrics,EASY,,,,,,,
CPMAI-D4-003,"A team is splitting data for a classifier in which one outcome accounts for about three per cent of records. A random split leaves the test set with very few examples of that outcome, and the measured performance on it varies substantially between runs. The dataset is large enough that preserving the three per cent proportion would place an adequate number of those records in the test set. What splitting approach should the project manager expect?","A larger test set, so that the rare outcome appears in it often enough to be measured reliably","Removal of the rare outcome from the test set, so the measured score is not distorted by so few cases","A stratified split, preserving the proportion of each outcome in every set",Duplication of the rare records until they make up an equal share of the test set,C,Preserving each class's proportion in every split stops the rare outcome's test count being left to chance.,"Enlarging the test set does raise the count of rare cases, but it takes records away from training and still leaves their number to chance. Stratification addresses the cause directly.",Excluding the rare outcome removes exactly the behaviour most in need of evaluation. The resulting score would describe only the common case.,"Stratification places the same three per cent share in each split. On a dataset of the size the stem describes, that yields a consistent and adequate number of rare cases rather than leaving the count to the draw.","Duplicating test records inflates the apparent sample without adding evidence, and makes the score depend repeatedly on the same few cases.",Manage AI Model Development and Evaluation,Training data strategy and validation design,MEDIUM,,,,,,,
CPMAI-D4-004,"A team is asked to make a screening model fair across two applicant groups. It finds that equalising the share of qualified applicants accepted in each group, and equalising the share of accepted applicants who prove qualified, cannot both be achieved given the different base rates. The team asks the project manager how to proceed.",Choose whichever definition the model satisfies more closely as it currently stands,"Decide with the stakeholders which definition applies here, and record the reasoning","Report both measures without selecting between them, so stakeholders can see the full position","Adjust the data until the base rates in the two groups match, so both definitions can hold",B,"Different fairness definitions can be mutually unattainable, so the choice must be made deliberately.","This lets the model's present behaviour set the standard, which reverses the order. The standard should be chosen first and the model measured against it.","When the definitions cannot hold together, the choice is about which harm matters more in this setting. That is a decision for accountable stakeholders, documented so it can be reviewed.",Transparent reporting is necessary and should happen regardless. It does not discharge the obligation to decide which standard the model must meet.,"Altering the data to remove a real difference misrepresents the population, and the model would be tuned to a situation that does not exist.",Manage AI Model Development and Evaluation,"Bias, fairness and evaluation transparency",HARD,,,,,,,
CPMAI-D4-005,"A team has spent three months on model experiments. Performance improved substantially in the first month, marginally in the second and not at all in the third. The team requests two further months, arguing that a breakthrough is still possible. What should the project manager weigh?","Whether the current model is good enough to be useful, against the cost of continuing",Whether the team has tried every algorithm that could plausibly suit this problem,"Whether two months matches the time already spent, so the investment is balanced",Whether the sponsor is willing to fund two further months of the team's time,A,"A flattening improvement curve is evidence about expected return, and a stopping rule should reflect it.","The pattern of gains suggests further effort will return little. The decision turns on whether what exists now delivers value, not on whether a breakthrough remains conceivable.","Exhausting the options is not a stopping rule, since the list is effectively open-ended. It would justify indefinite continuation.",Time already spent is not recoverable and should not shape the decision. Only the expected return on further effort is relevant.,Willingness to fund is necessary to proceed but does not establish that proceeding is worthwhile.,Manage AI Model Development and Evaluation,Experiment management and iteration governance,HARD,,,,,,,
CPMAI-D4-006,A team must classify incoming support tickets into a small set of categories. One member proposes adapting a general-purpose language model; another proposes training a classifier on the organisation's own labelled ticket history. The project manager is asked to decide how the options should be compared.,"Choose the general-purpose model, as it has seen far more text than the organisation holds","Choose the in-house classifier, as a model built on the organisation's own tickets always fits better",Combine both approaches so that the strengths of each one are retained,Evaluate both approaches against the same held-out tickets and the same agreed success measure,D,"Competing approaches are chosen on evidence against the same task, not on the reputation of the method.","Broad pretraining is an advantage on general language, but the task is this organisation's own categories. Whether that advantage carries over is exactly what the comparison is meant to establish.","Matching the organisation's categories may help, but it does not guarantee better performance. A small or inconsistent ticket history can still produce a weaker classifier than an adapted general model.","Combining methods may be worth exploring later, but it adds cost and complexity before either approach has been shown to work. The decision in front of the project manager is how to compare them.",Running both approaches on identical data and one agreed measure makes the comparison meaningful. Anything else compares the methods' reputations rather than their performance on this task.,Manage AI Model Development and Evaluation,Model approach and algorithm selection,MEDIUM,,,,,,,
CPMAI-D4-007,A team proposes a cut-off that would send roughly four hundred cases a day for manual review. The review team consists of six people who can each assess about twenty cases a day. The team argues the cut-off is correct because it maximises the number of genuine cases caught. What should the project manager conclude?,"The cut-off is correct, since catching the greatest number of genuine cases is the model's purpose",The review team should be expanded until it can assess every case the model flags,A cut-off producing more cases than can be reviewed will leave most of them unactioned,The cases should be reviewed in the order they arrive so none of them waits unduly long,C,A cut-off that exceeds the capacity to act on its output delivers less than one that fits within it.,"The purpose is acting on genuine cases, not flagging them. Flags that no one can assess do not produce the intended outcome.",Expanding the team may be one option to put to the sponsor. It is a resourcing proposal rather than the conclusion to draw about the cut-off as it stands.,"Around a hundred and twenty cases a day can be assessed. The rest queue or lapse, so the genuine cases in that remainder are caught on paper but not in practice.",Arrival order distributes the delay but does not create capacity. The same proportion of cases still goes unassessed.,Manage AI Model Development and Evaluation,Error cost and decision thresholds,MEDIUM,,,,,,,
CPMAI-D4-008,A team reports that its model classifies ninety-six per cent of training records correctly but only sixty-one per cent of the held-out test records. The team is pleased with the training figure. What does the gap between the two indicate?,The test set must contain records that are harder than those used for training,The model has learned the training records rather than the underlying pattern,The model needs more training rounds to bring the test figure up to the training figure,"The training figure is the one to report, since it rests on far more records than the test figure",B,A large gap between training and held-out performance is evidence the model has fitted its training set.,A random split gives no reason to expect the test records to be systematically harder than the training records. A gap of this size is more consistent with the model than with an unlucky draw.,"Detail specific to the training records does not recur in new data. The model reproduces what it memorised, which is why performance falls away on records it has not seen.","Continuing to train does not by itself establish that held-out performance will catch up. Where the model is already fitting training detail, further training can widen the gap instead.",Sample size does not make a training score informative. It measures material the model has already seen.,Manage AI Model Development and Evaluation,"Overfitting, generalisation and robustness",EASY,,,,,,,
CPMAI-D4-009,"A team reports unusually strong test performance on a document classification model. Investigation shows the source system had recorded many documents twice, and the random split placed copies of the same document in both the training and the test set. What does this mean for the reported score?",The score partly measures documents the model already saw during training,"The score is valid, because duplicate documents are genuine records that occur in the real data","The score is too low, because duplicated documents take up places that other documents could have filled",The duplicates should be left in place and the model retrained with a smaller training set,A,"A test record the model has already seen in training measures recall of that record, not generalisation.",For every duplicated document the model is being asked about material it has already learned. Those cases inflate the score without saying anything about unseen documents.,"Duplicates may well occur in the source system, but that does not make them valid test cases here. The test set must contain material the model has not been trained on.","The direction is wrong. Seeing the same document in training makes the test easier, so the score is inflated rather than depressed.",Shrinking the training set does not separate the copies. The duplicates would still straddle the split and the score would still be inflated.,Manage AI Model Development and Evaluation,Data leakage,MEDIUM,,,,,,,
CPMAI-D4-010,"A team encodes two categorical fields for a pricing model. One records a service tier as standard, priority or express; the other records the handling depot, of which there are nine with no inherent ordering. The team applies the same numeric encoding to both. What problem does this create?",The service tier field is given an order that its three levels do not carry,Nine depots is too many distinct values for a categorical field to be usable,The depot field is given an order and a spacing that it does not actually have,"Both fields need numbers, so one consistent encoding across them is correct",C,Encoding an unordered category as a number asserts an ordering and spacing the data does not have.,"The tiers do carry a natural progression from standard through priority to express, so a numeric encoding is defensible there. The unordered field is the one that is misrepresented.","Nine categories is a modest number and presents no particular difficulty. The issue is the kind of encoding applied, not the count of categories.","Numbering the depots implies that depot seven sits between six and eight in some meaningful sense. No such relationship exists, so the model is fed a structure that is not real.","Consistency is not the goal. The encoding has to match the nature of each field, and applying one scheme to fields of different kinds is what causes the problem.",Manage AI Model Development and Evaluation,Feature engineering and preparation,MEDIUM,,,,,,,
