question_id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,explanation_a,explanation_b,explanation_c,explanation_d,domain,topic,difficulty,source,tags,is_test,option_e,option_f,explanation_e,explanation_f
CPMAI-ALGK-001,"A training dataset contains thousands of loan applications, and every record already shows whether the applicant repaid or defaulted. Which learning approach uses these known outcomes to learn how to predict new cases?",Supervised learning,Unsupervised learning,Reinforcement learning,Symbolic reasoning,A,Supervised learning learns from labeled examples where the desired outcome is already known.,Correct. The historical records contain labels—the repayment outcome—so the model can learn a mapping from inputs to a known target.,Unsupervised learning is used when the data has no target labels and the goal is to discover structure or groups.,"Reinforcement learning learns from actions and rewards or penalties, not from a table of pre-labeled outcomes.",Symbolic approaches use explicit logical rules and human-understandable concepts rather than learning this labeled mapping from examples.,Manage AI Model Development and Evaluation,Learning Paradigms,EASY,,algorithm,,,,,
CPMAI-ALGK-002,A retailer has customer purchase histories but no existing customer categories. It wants the data itself to reveal useful groups. Which learning approach best matches this goal?,Supervised learning,Unsupervised learning,Reinforcement learning,Deep learning,B,Unsupervised learning discovers structure in data when predefined outcome labels are not available.,Supervised learning requires known labels or outcomes to learn from; no customer categories exist here.,Correct. The goal is to discover natural structure in unlabeled customer data.,Reinforcement learning requires an agent taking actions and receiving rewards or penalties.,Deep learning describes a neural-network architecture and does not by itself specify whether learning is supervised or unsupervised.,Manage AI Model Development and Evaluation,Learning Paradigms,EASY,,algorithm,,,,,
CPMAI-ALGK-003,"An autonomous cart tries different routes through a warehouse. Short, safe trips earn a positive score and collisions receive a penalty. Which learning approach is being used?",Unsupervised learning,Supervised learning,Reinforcement learning,Linear regression,C,"Reinforcement learning is characterized by an agent taking actions, receiving feedback, and improving its policy over time.",Unsupervised learning discovers patterns or groups; it does not use an action-and-reward loop.,Supervised learning learns from examples that already contain the correct target.,Correct. The cart acts in an environment and learns from rewards and penalties.,Linear regression predicts continuous values; it is not the learning loop described here.,Manage AI Model Development and Evaluation,Learning Paradigms,EASY,,algorithm,,,,,
CPMAI-ALGK-004,"A robot uses a deep neural network to choose how to grasp objects, but it improves only after trying a grasp and receiving a success or failure reward. What is the learning type?",Deep learning only,Supervised learning,Unsupervised learning,Reinforcement learning,D,The neural network is an architecture; the action → reward → policy-improvement loop identifies reinforcement learning.,"Deep learning describes the network architecture, not the learning paradigm created by the reward loop.",Success or failure arrives after the robot acts as feedback; this is not a pre-labeled table of correct grasps.,Unsupervised learning finds structure without labels or rewards and does not describe policy improvement from actions.,"Correct. The robot acts, receives a reward signal, and updates its behavior.",Manage AI Model Development and Evaluation,Learning Paradigms,MEDIUM,,algorithm,,,,,
CPMAI-ALGK-005,Which characteristic makes a decision tree especially useful when a reviewer must understand how an individual prediction was reached?,Its prediction follows a traceable path of branching rules,It combines the predictions of many separately trained trees,It groups unlabeled records around a chosen number of centroids,It improves its behaviour from rewards received after each action,A,A decision tree exposes a readable branch-by-branch path from input conditions to an output.,Correct. Its branching structure provides a traceable sequence of decisions.,"Combining many models describes an ensemble such as a random forest, not a single decision tree.",Grouping around centroids describes K-means clustering.,Learning from action feedback describes reinforcement learning.,Manage AI Model Development and Evaluation,Decision Trees,EASY,,algorithm,,,,,
CPMAI-ALGK-006,Why can a random forest be less straightforward to explain than a single decision tree?,It can only process unlabeled data,It combines the outputs of many decision trees,It predicts only continuous values,It requires an action-and-reward environment,B,"Random forest is an ensemble of many decision trees, which makes an individual decision less directly traceable than a single tree.",Random forests are not defined by using only unlabeled data.,Correct. Aggregating many trees makes the overall decision less directly traceable than one branch path.,Random forest is not limited to continuous-value prediction.,An action-and-reward environment is associated with reinforcement learning.,Manage AI Model Development and Evaluation,Random Forest,MEDIUM,,algorithm,,,,,
CPMAI-ALGK-007,A team wants a fast first-pass clustering method and already knows it wants exactly six groups. Which algorithm directly uses that chosen number of groups?,Hidden Markov Model (HMM),Naive Bayes classifier,K-means clustering,Linear regression,C,"K-means partitions unlabeled data into a user-specified number, K, of clusters.",HMM models sequences with hidden states rather than partitioning static data into a chosen number of centroid-based groups.,Naive Bayes is a supervised probabilistic classifier.,Correct. The K in K-means is the number of clusters selected in advance.,Linear regression predicts a continuous numerical value.,Manage AI Model Development and Evaluation,K-Means,EASY,,algorithm,,,,,
CPMAI-ALGK-008,Which clustering method is designed to give one record a degree of membership in several clusters instead of forcing it into exactly one cluster?,K-means clustering,Decision tree,Support Vector Machine (SVM),Fuzzy C-means clustering,D,Fuzzy C-means assigns membership weights between 0 and 1 across clusters.,K-means makes a hard assignment to one nearest cluster.,A decision tree follows branching rules for prediction; it is not a soft clustering method.,SVM separates labeled classes with a decision boundary.,Correct. Fuzzy C-means represents partial membership across multiple clusters.,Manage AI Model Development and Evaluation,Fuzzy C-Means,EASY,,algorithm,,,,,
CPMAI-ALGK-009,A measurement appears to come from several overlapping bell-shaped populations. Which algorithm is specifically designed to model the data as a weighted blend of those underlying distributions?,Gaussian Mixture Model (GMM),K-Nearest Neighbor (KNN),Decision tree,Support Vector Machine (SVM),A,GMM represents data as a mixture of Gaussian components and estimates the components that make up the blend.,Correct. GMM models overlapping Gaussian components and their relative contributions.,KNN predicts from nearby labeled examples rather than decomposing a distribution into Gaussian components.,A decision tree uses branching rules rather than a probabilistic mixture of distributions.,SVM separates labeled classes with a boundary rather than recovering blended Gaussian populations.,Manage AI Model Development and Evaluation,Gaussian Mixture Models,MEDIUM,,algorithm,,,,,
CPMAI-ALGK-010,Which model is built around hidden states that change through a sequence and produce observable outputs?,K-means clustering,Hidden Markov Model (HMM),Linear regression,Fuzzy C-means clustering,B,An HMM models a sequence of unobserved states and the observable outputs associated with those states.,K-means partitions static unlabeled records into centroid-based clusters.,Correct. Hidden states and sequential transitions are the defining HMM concepts.,Linear regression predicts a continuous numerical output from input features.,Fuzzy C-means assigns degrees of cluster membership to static records.,Manage AI Model Development and Evaluation,Hidden Markov Models,MEDIUM,,algorithm,,,,,
